feature,coef,clean_feature
word_tfidf__53,-0.09453991521555966,word: 53
word_tfidf__53 int,0.019271953732191982,word: 53 int
word_tfidf__54,-0.08726729552623828,word: 54
word_tfidf__55,-0.06917364952851567,word: 55
word_tfidf__56,-0.10800935038188658,word: 56
word_tfidf__56 int,0.060597092071760866,word: 56 int
word_tfidf__567,0.06768963241415714,word: 567
word_tfidf__57,-0.038943708961657025,word: 57
word_tfidf__57 int,0.0534550945369132,word: 57 int
word_tfidf__58,-0.07318073600957546,word: 58
word_tfidf__58 continued,-0.02642466670171886,word: 58 continued
word_tfidf__58 int,0.03417211064077986,word: 58 int
word_tfidf__59,-0.06926241316321116,word: 59
word_tfidf__59 int,0.07945305233179369,word: 59 int
word_tfidf__60,-0.033948185676415436,word: 60
word_tfidf__60 int,0.007545555074957998,word: 60 int
word_tfidf__607,-0.05619099019161,word: 607
word_tfidf__61,-0.051870370990958016,word: 61
word_tfidf__61 int,0.003987292434930185,word: 61 int
word_tfidf__62,-0.08623223097413148,word: 62
word_tfidf__63,-0.06881407480919462,word: 63
word_tfidf__64,-0.08943352691191657,word: 64
word_tfidf__64 int,0.020059147148897796,word: 64 int
word_tfidf__65,-0.03825096573769542,word: 65
word_tfidf__66,-0.07692742092830271,word: 66
word_tfidf__67,-0.09071563863278502,word: 67
word_tfidf__67 int,0.025474638937388643,word: 67 int
word_tfidf__68,-0.056749534730067955,word: 68
word_tfidf__68 int,0.05039119516177568,word: 68 int
word_tfidf__69,-0.08670562767000956,word: 69
word_tfidf__69 int,0.03862245789988508,word: 69 int
word_tfidf__70,-0.06849032375263456,word: 70
word_tfidf__70 int,-0.01579615434601619,word: 70 int
word_tfidf__71,-0.07243498781864184,word: 71
word_tfidf__72,-0.0683436036074648,word: 72
word_tfidf__73,-0.08383428818585563,word: 73
word_tfidf__73 int,-0.01550861416584633,word: 73 int
word_tfidf__74,-0.08211447550113461,word: 74
word_tfidf__74 int,-0.01413278494512496,word: 74 int
word_tfidf__75,-0.11027640574305533,word: 75
word_tfidf__75 int,0.03221559935018357,word: 75 int
word_tfidf__76,-0.06069206864767398,word: 76
word_tfidf__77,-0.0921721211958864,word: 77
word_tfidf__78,-0.060062278374091865,word: 78
word_tfidf__79,-0.018614254938428974,word: 79
word_tfidf__80,-0.09642373069030884,word: 80
word_tfidf__81,-0.09688008426242804,word: 81
word_tfidf__82,-0.08183489923626454,word: 82
word_tfidf__82 int,0.015076618237788329,word: 82 int
word_tfidf__83,-0.06744941209256278,word: 83
word_tfidf__84,-0.06390995971051994,word: 84
word_tfidf__84 int,-0.03436002987253098,word: 84 int
word_tfidf__85,-0.0733656377654255,word: 85
word_tfidf__86,-0.05334696775568301,word: 86
word_tfidf__86 int,0.025943492100105693,word: 86 int
word_tfidf__87,-0.08066348694867587,word: 87
word_tfidf__87 int,0.021898982454920883,word: 87 int
